"ID","timestamp","UTM.Easting","UTM.Northing","UTM.zone"
"animal0","2005-07-14 05:35",387730,7238204,"36N"
"animal0","2005-07-14 07:35",384846.3,7240894,"36N"
"animal0","2005-07-14 08:34",384418.1,7240197,"36N"
"animal0","2005-07-14 09:35",384606.5,7239634,"36N"
"animal0","2005-07-14 10:35",384885.8,7240399,"36N"
"animal0","2005-07-14 11:34",383347.9,7241826,"36N"
"animal0","2005-07-14 12:35",383291.1,7241864,"36N"
"animal0","2005-07-14 13:34",383345.1,7241818,"36N"
"animal0","2005-07-14 14:35",384593.5,7241907,"36N"
"animal0","2005-07-14 15:35",385384.8,7241234,"36N"
"animal0","2005-07-14 16:34",386469.9,7239917,"36N"
"animal0","2005-07-14 17:36",389216.3,7238298,"36N"
"animal0","2005-07-14 18:35",388690.5,7238278,"36N"
"animal0","2005-07-14 19:34",388424.9,7238054,"36N"
"animal0","2005-07-14 20:35",388432.9,7238056,"36N"
"animal0","2005-07-14 21:34",388362.2,7237927,"36N"
"animal0","2005-07-14 22:34",387873.6,7237803,"36N"
"animal0","2005-07-14 23:35",387373.8,7237696,"36N"
"animal0","2005-07-15 00:34",387218.4,7237679,"36N"
"animal0","2005-07-15 01:35",387216.5,7237664,"36N"
"animal0","2005-07-15 02:35",387222.6,7237666,"36N"
"animal0","2005-07-15 03:35",387210.5,7237544,"36N"
"animal0","2005-07-15 04:34",387144.5,7237446,"36N"
"animal0","2005-07-15 05:34",388347.8,7237325,"36N"
"animal0","2005-07-15 06:35",389344.4,7237799,"36N"
"animal0","2005-07-15 07:34",388460.8,7236364,"36N"
"animal0","2005-07-15 08:35",386551.5,7233625,"36N"
"animal0","2005-07-15 09:34",386205.2,7232428,"36N"
"animal0","2005-07-15 10:34",386223.9,7232129,"36N"
"animal0","2005-07-15 11:34",386223.9,7232133,"36N"
"animal0","2005-07-15 12:34",386236,7232133,"36N"
"animal0","2005-07-15 13:34",386329.7,7232019,"36N"
"animal0","2005-07-15 14:34",386665.1,7231611,"36N"
"animal0","2005-07-15 15:34",386771,7231112,"36N"
"animal0","2005-07-15 16:34",386647.5,7230934,"36N"
"animal0","2005-07-15 17:34",386581.8,7230933,"36N"
"animal0","2005-07-15 18:34",386577.6,7231313,"36N"
"animal0","2005-07-15 19:34",386424.9,7232225,"36N"
"animal0","2005-07-15 20:34",386343.7,7233252,"36N"
"animal0","2005-07-15 21:34",386468.3,7233429,"36N"
"animal0","2005-07-15 22:34",386466.3,7233417,"36N"
"animal0","2005-07-15 23:34",386472.2,7233446,"36N"
"animal0","2005-07-16 00:34",386480.2,7233451,"36N"
"animal0","2005-07-16 01:34",386473.3,7233445,"36N"
"animal0","2005-07-16 02:34",386504.4,7233579,"36N"
"animal0","2005-07-16 03:34",386490.7,7233652,"36N"
"animal0","2005-07-16 04:34",386237,7233814,"36N"
"animal0","2005-07-16 05:34",385863.7,7234030,"36N"
"animal0","2005-07-16 06:34",385843.7,7234022,"36N"
"animal0","2005-07-16 07:34",385759.8,7234037,"36N"
"animal0","2005-07-16 08:34",385443.4,7234227,"36N"
"animal0","2005-07-16 09:34",385300.7,7234027,"36N"
"animal0","2005-07-16 10:34",385297.8,7234007,"36N"
"animal0","2005-07-16 11:34",385294.6,7234023,"36N"
"animal0","2005-07-16 12:34",385297.7,7234014,"36N"
"animal0","2005-07-16 13:34",385290.7,7234023,"36N"
"animal0","2005-07-16 14:34",385508.1,7233950,"36N"
"animal0","2005-07-16 15:35",385635.7,7234259,"36N"
"animal0","2005-07-16 16:34",386910.4,7235131,"36N"
"animal0","2005-07-16 17:34",388966.8,7235718,"36N"
"animal0","2005-07-16 18:34",388726.4,7235849,"36N"
"animal0","2005-07-16 19:34",387501.8,7236238,"36N"
"animal0","2005-07-16 20:34",386977.4,7236549,"36N"
"animal0","2005-07-16 21:34",386596.3,7236737,"36N"
"animal0","2005-07-16 22:34",386573.1,7236741,"36N"
"animal0","2005-07-16 23:34",386541.4,7236791,"36N"
"animal0","2005-07-17 00:34",386413.3,7236891,"36N"
"animal0","2005-07-17 01:34",386320.3,7236909,"36N"
"animal0","2005-07-17 02:34",386274.3,7236857,"36N"
"animal0","2005-07-17 03:34",386265.9,7236903,"36N"
"animal0","2005-07-17 04:34",386241.7,7236898,"36N"
