"","timestamp","UTM.Easting","UTM.Northing","UTM.zone"
"1",2005-07-14 05:35:00,387730,7238204,"36N"
"2",2005-07-14 07:35:00,384846.3,7240894,"36N"
"3",2005-07-14 08:34:00,384418.1,7240197,"36N"
"4",2005-07-14 09:35:00,384606.5,7239634,"36N"
"5",2005-07-14 10:35:00,384885.8,7240399,"36N"
"6",2005-07-14 11:34:00,383347.9,7241826,"36N"
"7",2005-07-14 12:35:00,383291.1,7241864,"36N"
"8",2005-07-14 13:34:00,383345.1,7241818,"36N"
"9",2005-07-14 14:35:00,384593.5,7241907,"36N"
"10",2005-07-14 15:35:00,385384.8,7241234,"36N"
"11",2005-07-14 16:34:00,386469.9,7239917,"36N"
"12",2005-07-14 17:36:00,389216.3,7238298,"36N"
"13",2005-07-14 18:35:00,388690.5,7238278,"36N"
"14",2005-07-14 19:34:00,388424.9,7238054,"36N"
"15",2005-07-14 20:35:00,388432.9,7238056,"36N"
"16",2005-07-14 21:34:00,388362.2,7237927,"36N"
"17",2005-07-14 22:34:00,387873.6,7237803,"36N"
"18",2005-07-14 23:35:00,387373.8,7237696,"36N"
"19",2005-07-15 00:34:00,387218.4,7237679,"36N"
"20",2005-07-15 01:35:00,387216.5,7237664,"36N"
"21",2005-07-15 02:35:00,387222.6,7237666,"36N"
"22",2005-07-15 03:35:00,387210.5,7237544,"36N"
"23",2005-07-15 04:34:00,387144.5,7237446,"36N"
"24",2005-07-15 05:34:00,388347.8,7237325,"36N"
"25",2005-07-15 06:35:00,389344.4,7237799,"36N"
"26",2005-07-15 07:34:00,388460.8,7236364,"36N"
"27",2005-07-15 08:35:00,386551.5,7233625,"36N"
"28",2005-07-15 09:34:00,386205.2,7232428,"36N"
"29",2005-07-15 10:34:00,386223.9,7232129,"36N"
"30",2005-07-15 11:34:00,386223.9,7232133,"36N"
"31",2005-07-15 12:34:00,386236,7232133,"36N"
"32",2005-07-15 13:34:00,386329.7,7232019,"36N"
"33",2005-07-15 14:34:00,386665.1,7231611,"36N"
"34",2005-07-15 15:34:00,386771,7231112,"36N"
"35",2005-07-15 16:34:00,386647.5,7230934,"36N"
"36",2005-07-15 17:34:00,386581.8,7230933,"36N"
"37",2005-07-15 18:34:00,386577.6,7231313,"36N"
"38",2005-07-15 19:34:00,386424.9,7232225,"36N"
"39",2005-07-15 20:34:00,386343.7,7233252,"36N"
"40",2005-07-15 21:34:00,386468.3,7233429,"36N"
"41",2005-07-15 22:34:00,386466.3,7233417,"36N"
"42",2005-07-15 23:34:00,386472.2,7233446,"36N"
"43",2005-07-16 00:34:00,386480.2,7233451,"36N"
"44",2005-07-16 01:34:00,386473.3,7233445,"36N"
"45",2005-07-16 02:34:00,386504.4,7233579,"36N"
"46",2005-07-16 03:34:00,386490.7,7233652,"36N"
"47",2005-07-16 04:34:00,386237,7233814,"36N"
"48",2005-07-16 05:34:00,385863.7,7234030,"36N"
"49",2005-07-16 06:34:00,385843.7,7234022,"36N"
"50",2005-07-16 07:34:00,385759.8,7234037,"36N"
"51",2005-07-16 08:34:00,385443.4,7234227,"36N"
"52",2005-07-16 09:34:00,385300.7,7234027,"36N"
"53",2005-07-16 10:34:00,385297.8,7234007,"36N"
"54",2005-07-16 11:34:00,385294.6,7234023,"36N"
"55",2005-07-16 12:34:00,385297.7,7234014,"36N"
"56",2005-07-16 13:34:00,385290.7,7234023,"36N"
"57",2005-07-16 14:34:00,385508.1,7233950,"36N"
"58",2005-07-16 15:35:00,385635.7,7234259,"36N"
"59",2005-07-16 16:34:00,386910.4,7235131,"36N"
"60",2005-07-16 17:34:00,388966.8,7235718,"36N"
"61",2005-07-16 18:34:00,388726.4,7235849,"36N"
"62",2005-07-16 19:34:00,387501.8,7236238,"36N"
"63",2005-07-16 20:34:00,386977.4,7236549,"36N"
"64",2005-07-16 21:34:00,386596.3,7236737,"36N"
"65",2005-07-16 22:34:00,386573.1,7236741,"36N"
"66",2005-07-16 23:34:00,386541.4,7236791,"36N"
"67",2005-07-17 00:34:00,386413.3,7236891,"36N"
"68",2005-07-17 01:34:00,386320.3,7236909,"36N"
"69",2005-07-17 02:34:00,386274.3,7236857,"36N"
"70",2005-07-17 03:34:00,386265.9,7236903,"36N"
"71",2005-07-17 04:34:00,386241.7,7236898,"36N"
"72",2005-07-17 05:34:00,385541.7,7236837,"36N"
"73",2005-07-17 06:35:00,384905.3,7236511,"36N"
"74",2005-07-17 07:34:00,384788.4,7236494,"36N"
"75",2005-07-17 08:34:00,384793.2,7236410,"36N"
"76",2005-07-17 09:34:00,384789,7236415,"36N"
"77",2005-07-17 10:34:00,384798.1,7236417,"36N"
"78",2005-07-17 11:34:00,384801.3,7236398,"36N"
"79",2005-07-17 12:34:00,384793.2,7236404,"36N"
"80",2005-07-17 13:34:00,384795.2,7236410,"36N"
"81",2005-07-17 14:34:00,384832.5,7236183,"36N"
"82",2005-07-17 15:34:00,384743.5,7236066,"36N"
"83",2005-07-17 16:34:00,384734.9,7235890,"36N"
"84",2005-07-17 17:34:00,384766.5,7235847,"36N"
"85",2005-07-17 18:34:00,384765.5,7235845,"36N"
"86",2005-07-17 19:34:00,384760.6,7235838,"36N"
"87",2005-07-17 20:34:00,384765,7235808,"36N"
"88",2005-07-17 21:34:00,384655.4,7235624,"36N"
"89",2005-07-17 22:34:00,384687.2,7235562,"36N"
"90",2005-07-17 23:34:00,384709.8,7235514,"36N"
"91",2005-07-18 00:34:00,384691.9,7235492,"36N"
"92",2005-07-18 01:34:00,384732.1,7235395,"36N"
"93",2005-07-18 02:34:00,384738.1,7235388,"36N"
"94",2005-07-18 03:34:00,384750.4,7235375,"36N"
"95",2005-07-18 04:34:00,384718.7,7235306,"36N"
"96",2005-07-18 05:34:00,384874.3,7234927,"36N"
