"event-id","visible","timestamp","location-long","location-lat","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name"
"1",7017149782,TRUE,2014-07-16 11:00:00,101.952689036084,14.5131244482716,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"2",7017149783,TRUE,2014-07-16 15:51:00,101.952689036084,14.5131244482716,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"3",7017149784,TRUE,2014-07-16 18:08:00,101.952689036084,14.5131244482716,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"4",7017149785,TRUE,2014-07-17 06:40:00,101.952689036084,14.5131244482716,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"5",7017149786,TRUE,2014-07-17 11:28:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"6",7017149787,TRUE,2014-07-17 15:56:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"7",7017149788,TRUE,2014-07-17 20:10:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"8",7017149789,TRUE,2014-07-18 06:36:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"9",7017149790,TRUE,2014-07-18 10:42:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"10",7017149791,TRUE,2014-07-18 16:04:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"11",7017149792,TRUE,2014-07-18 19:33:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"12",7017149793,TRUE,2014-07-19 06:30:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"13",7017149794,TRUE,2014-07-19 10:45:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"14",7017149795,TRUE,2014-07-20 06:38:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"15",7017149796,TRUE,2014-07-20 10:50:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"16",7017149797,TRUE,2014-07-20 15:59:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"17",7017149798,TRUE,2014-07-21 06:39:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"18",7017149799,TRUE,2014-07-21 13:47:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"19",7017149800,TRUE,2014-07-22 07:36:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"20",7017149801,TRUE,2014-07-22 10:53:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"21",7017149802,TRUE,2014-07-22 15:54:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"22",7017149803,TRUE,2014-07-23 06:35:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"23",7017149804,TRUE,2014-07-23 11:26:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"24",7017149805,TRUE,2014-07-23 19:34:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"25",7017149806,TRUE,2014-07-24 06:46:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"26",7017149807,TRUE,2014-07-24 10:31:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"27",7017149808,TRUE,2014-07-24 15:53:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"28",7017149809,TRUE,2014-07-24 19:03:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
"29",7017149810,TRUE,2014-07-25 06:32:00,101.952353796627,14.5151064684263,"radio-transmitter","Ophiophagus hannah","#556574378","OPHA2","King cobra (Ophiophagus hannah), Elapidae, Thailand"
