method,duration,bias,cost,tau_p,tau_v
KDE,1,0.195733777,0.207547426,86164.091,3600
KDE,1,0.24053385,0.218415737,86164.091,3600
KDE,1,0.198972725,0.419533014,86164.091,3600
KDE,1,0.33114495,0.435013533,86164.091,3600
AKDE,1,0.481761881,15.3635025,86164.091,3600
AKDE,1,0.690857195,15.55509353,86164.091,3600
AKDE,1,1.669531863,15.60033107,86164.091,3600
AKDE,1,0.577805583,20.21867609,86164.091,3600
AKDEc,1,0.423697272,12.055053,86164.091,3600
AKDEc,1,0.985098821,12.63154149,86164.091,3600
AKDEc,1,0.301686532,15.78232217,86164.091,3600
pHREML_AKDEc,1,0.51855103,20.24972963,86164.091,3600
pHREML_AKDEc,1,1.304450753,21.14475369,86164.091,3600
AKDEc,1,0.35863196,31.7270267,86164.091,3600
pHREML_AKDEc,1,0.361064874,25.20122933,86164.091,3600
pHREML_wAKDEc,1,0.507763097,19.67987204,86164.091,3600
KDE,1,0.191995891,0.125939846,86164.091,3600
pHREML_wAKDEc,1,1.284708792,21.21583676,86164.091,3600
KDE,1,0.283688781,0.329767704,86164.091,3600
pHREML_AKDEc,1,0.435174701,24.19380546,86164.091,3600
AKDE,1,0.544350647,11.55579805,86164.091,3600
pHREML_wAKDEc,1,0.366498315,26.30171657,86164.091,3600
KDE,1,0.169350297,0.123519659,86164.091,3600
AKDE,1,0.812298543,15.20264053,86164.091,3600
AKDEc,1,0.335502806,12.15962696,86164.091,3600
pHREML_wAKDEc,1,0.431421235,22.90138435,86164.091,3600
KDE,1,0.145346895,0.150050879,86164.091,3600
AKDEc,1,0.495464212,13.6507163,86164.091,3600
AKDE,1,0.4200081,18.51008415,86164.091,3600
AKDE,1,0.380870444,10.70336151,86164.091,3600
pHREML_AKDEc,1,0.421435398,19.3101213,86164.091,3600
AKDEc,1,0.2402743,11.49095464,86164.091,3600
pHREML_AKDEc,1,0.607147311,22.01963329,86164.091,3600
pHREML_wAKDEc,1,0.457719265,20.17923665,86164.091,3600
AKDEc,1,0.262954888,29.9912107,86164.091,3600
KDE,1,0.112939681,0.555849552,86164.091,3600
pHREML_AKDEc,1,0.297689595,20.52533865,86164.091,3600
AKDE,1,0.330936762,11.23786259,86164.091,3600
pHREML_wAKDEc,1,0.628765986,22.53119564,86164.091,3600
KDE,1,0.303919064,0.317172766,86164.091,3600
pHREML_AKDEc,1,0.323905707,19.80873251,86164.091,3600
AKDEc,1,0.20698304,11.58043694,86164.091,3600
AKDE,1,1.269136251,14.59734535,86164.091,3600
pHREML_wAKDEc,1,0.316987132,26.94093418,86164.091,3600
KDE,1,0.125263357,0.126416683,86164.091,3600
pHREML_wAKDEc,1,0.321756924,20.76309776,86164.091,3600
KDE,1,0.187244943,0.309037685,86164.091,3600
pHREML_AKDEc,1,0.248088349,19.55539012,86164.091,3600
AKDEc,1,0.754726916,22.89554811,86164.091,3600
AKDE,1,0.597824405,12.05249381,86164.091,3600
pHREML_wAKDEc,1,0.247035418,19.30821991,86164.091,3600
KDE,1,0.233190664,0.312935352,86164.091,3600
AKDEc,1,0.368258297,11.55446267,86164.091,3600
AKDE,1,0.286656577,27.68838954,86164.091,3600
pHREML_AKDEc,1,0.990524728,22.87027669,86164.091,3600
AKDE,1,1.363492252,14.00694704,86164.091,3600
pHREML_AKDEc,1,0.453717114,19.37054062,86164.091,3600
AKDEc,1,0.812243048,13.09497833,86164.091,3600
AKDEc,1,0.182320323,27.40564775,86164.091,3600
pHREML_wAKDEc,1,0.962428554,25.08804893,86164.091,3600
KDE,1,0.129805371,0.338344336,86164.091,3600
pHREML_wAKDEc,1,0.467618477,19.77810645,86164.091,3600
KDE,1,0.067695149,0.118774176,86164.091,3600
pHREML_AKDEc,1,1.055989935,20.74012709,86164.091,3600
AKDE,1,0.303088573,12.71708632,86164.091,3600
AKDE,1,0.157407235,14.4214921,86164.091,3600
AKDEc,1,0.192662596,13.37039328,86164.091,3600
pHREML_AKDEc,1,0.208517799,34.97891712,86164.091,3600
pHREML_wAKDEc,1,1.074383591,21.08704209,86164.091,3600
AKDEc,1,0.102934025,13.81662726,86164.091,3600
KDE,1,0.115391207,0.312224627,86164.091,3600
AKDE,1,0.641282892,12.21453214,86164.091,3600
pHREML_AKDEc,1,0.229089094,22.80101323,86164.091,3600
pHREML_wAKDEc,1,0.214458483,22.56205201,86164.091,3600
KDE,1,0.306407376,0.336488247,86164.091,3600
pHREML_AKDEc,1,0.12085589,20.90089202,86164.091,3600
AKDEc,1,0.39026898,11.88882494,86164.091,3600
AKDE,1,0.821381,13.58503127,86164.091,3600
pHREML_wAKDEc,1,0.230085117,21.30183482,86164.091,3600
KDE,1,0.101171564,0.12673521,86164.091,3600
pHREML_wAKDEc,1,0.125774691,21.38429499,86164.091,3600
KDE,1,0.061069224,0.124943495,86164.091,3600
pHREML_AKDEc,1,0.503571296,19.18853045,86164.091,3600
AKDEc,1,0.502009315,13.88946414,86164.091,3600
AKDE,1,0.269384948,17.05426025,86164.091,3600
AKDE,1,0.134269827,13.11683273,86164.091,3600
pHREML_wAKDEc,1,0.518381445,19.47685146,86164.091,3600
KDE,1,0.081034891,0.312104702,86164.091,3600
AKDEc,1,0.088522868,12.13090611,86164.091,3600
pHREML_AKDEc,1,0.615115807,22.40104842,86164.091,3600
AKDE,1,0.196669067,15.05541396,86164.091,3600
pHREML_AKDEc,1,0.101448177,20.24859238,86164.091,3600
pHREML_wAKDEc,1,0.582764645,22.7945807,86164.091,3600
AKDEc,1,0.125359242,13.55467725,86164.091,3600
KDE,1,0.216900399,0.341099501,86164.091,3600
AKDEc,1,0.172255035,42.79182911,86164.091,3600
AKDE,1,0.665290481,12.98092413,86164.091,3600
pHREML_wAKDEc,1,0.107866626,20.13087535,86164.091,3600
KDE,1,0.18701131,0.119632721,86164.091,3600
pHREML_AKDEc,1,0.14598381,18.83063149,86164.091,3600
AKDEc,1,0.403606717,12.93886542,86164.091,3600
pHREML_wAKDEc,1,0.140485606,19.27804637,86164.091,3600
KDE,1,0.135413426,0.307881832,86164.091,3600
AKDE,1,0.488598761,25.39485574,86164.091,3600
pHREML_AKDEc,1,0.201576165,37.46709919,86164.091,3600
pHREML_AKDEc,1,0.501616984,19.89255857,86164.091,3600
AKDE,1,0.42373797,11.3782227,86164.091,3600
AKDEc,1,0.304480262,21.49456739,86164.091,3600
AKDEc,1,0.265014252,13.59931445,86164.091,3600
pHREML_wAKDEc,1,0.511436705,21.19289279,86164.091,3600
