tau_p,tau_v,dur,dti,error,error_lci,error_uci
86400.002,3600,86400,86400,,,
86400.002,3600,86400,43200,,,
86400.002,3600,86400,21600,,,
86400.002,3600,86400,10800,0.244199496,0.0698520094194504,0.424835379787876
86400.002,3600,86400,5400,0.261248199,0.176055898435234,0.347885867729498
86400.002,3600,86400,2700,0.279360127,0.219023478404317,0.340407235474394
86400.002,3600,86400,1350,0.273940615,0.197498935198128,0.351531788309571
86400.002,3600,86400,675,0.259889597,0.174382220915955,0.346854765547913
86400.002,3600,86400,338,0.258329392,0.185581578088269,0.332130523524413
86400.002,3600,86400,169,0.276383182,0.172312067873838,0.382594915738657
86400.002,3600,86400,84,0.302297346,0.287161528043578,0.317476664893081
86400.002,3600,86400,42,0.301102189,0.285089494273383,0.317163623939822
86400.002,3600,86400,20,0.303370072,0.302558439178765,0.304181829490943
86400.002,3600,172800,86400,,,
86400.002,3600,172800,43200,,,
86400.002,3600,172800,21600,-0.025240589,-0.339836691520153,0.317850693279895
86400.002,3600,172800,10800,-0.020084739,-0.0981343209522712,0.0595321514341195
86400.002,3600,172800,5400,-0.008319471,-0.0583895428557367,0.0423823873473819
86400.002,3600,172800,2700,0.0009038,-0.0371435250666301,0.0393112935626965
86400.002,3600,172800,1350,0.008728455,-0.0260658260106643,0.0438213221520016
86400.002,3600,172800,675,0.007702065,-0.0250367545969908,0.0407053587750236
86400.002,3600,172800,338,0.012066326,-0.0264686537101555,0.050966698936711
86400.002,3600,172800,169,0.011337939,-0.0379358602625275,0.0612113912144528
86400.002,3600,172800,84,0.060956715,0.0493524992998853,0.0725923101522011
86400.002,3600,172800,42,0.063293718,0.0539909211269984,0.0726166260850306
86400.002,3600,172800,20,0.062596473,0.0621047226685748,0.0630882788937182
86400.002,3600,345600,86400,,,
86400.002,3600,345600,43200,,,
86400.002,3600,345600,21600,-0.241205072,-0.388674174841001,-0.0861974871028505
86400.002,3600,345600,10800,-0.133135168,-0.19715091715298,-0.0679297149184936
86400.002,3600,345600,5400,-0.038402332,-0.117019593516447,0.0418364891473619
86400.002,3600,345600,2700,-0.050709901,-0.0682828918543645,-0.0330563247482618
86400.002,3600,345600,1350,-0.049849198,-0.0666257711817897,-0.0329992597613169
86400.002,3600,345600,675,-0.044120749,-0.0658338441007798,-0.0222853360432575
86400.002,3600,345600,338,-0.04348122,-0.0775862600343217,-0.00907355161212333
86400.002,3600,345600,169,-0.041703771,-0.0780132188136437,-0.00505173221401083
86400.002,3600,345600,84,-0.020220745,-0.0287697139715115,-0.0116533433910322
86400.002,3600,345600,42,-0.020243867,-0.0285055526621128,-0.011964967955178
86400.002,3600,345600,20,-0.020804934,-0.0211493496431164,-0.0204604894681124
86400.002,3600,691200,86400,,,
86400.002,3600,691200,43200,-0.305449947,-0.574689348440284,-0.00568254576890412
86400.002,3600,691200,21600,-0.312904935,-0.389359034934404,-0.23428361597694
86400.002,3600,691200,10800,-0.019504874,-0.183002327143957,0.151082277595633
86400.002,3600,691200,5400,-0.031283723,-0.0843296832078136,0.0224890665981076
86400.002,3600,691200,2700,-0.007715238,-0.0243354654685944,0.00897391976369214
86400.002,3600,691200,1350,-0.012341439,-0.0295635948392113,0.00495508874067098
86400.002,3600,691200,675,-0.009269237,-0.0233716481441181,0.00488284570445506
86400.002,3600,691200,338,-0.020184343,-0.0427440636033201,0.00250420438837128
86400.002,3600,691200,169,-0.01554804,-0.0432913987861557,0.0123894994513515
86400.002,3600,691200,84,-0.006537801,-0.0126227120259429,-0.000443686752257729
86400.002,3600,691200,42,-0.005440947,-0.0106969561437627,-0.000178079797612928
86400.002,3600,691200,20,-0.006682115,-0.00685452603888418,-0.00650969576343591
86400.002,3600,1382400,86400,,,
86400.002,3600,1382400,43200,,,
86400.002,3600,1382400,21600,-0.106477244,-0.42684627233025,0.246846495607441
86400.002,3600,1382400,10800,-0.007845062,-0.151887118403998,0.141589850071453
86400.002,3600,1382400,5400,-0.027299912,-0.0649853858346762,0.0107492321094239
86400.002,3600,1382400,2700,-0.002147452,-0.0156437516719413,0.0113940083582399
86400.002,3600,1382400,1350,0.000759911,-0.0118265261345108,0.0133855021181904
86400.002,3600,1382400,675,-0.002024063,-0.0161630977245176,0.0121645397261623
86400.002,3600,1382400,338,-0.010257147,-0.0260286349275491,0.00557655602334666
86400.002,3600,1382400,169,-0.006814116,-0.0234425710586092,0.00988327328201465
86400.002,3600,1382400,84,-0.001131491,-0.00442697729378501,0.00216667817628217
86400.002,3600,1382400,42,-0.001003926,-0.00432168430657442,0.00231655080952556
86400.002,3600,1382400,20,-0.001364828,-0.00157540469889352,-0.00115423994150294
86400.002,3600,2764800,86400,,,
86400.002,3600,2764800,43200,,,
86400.002,3600,2764800,21600,-0.206577318,-0.350816116282386,-0.0554778258615673
86400.002,3600,2764800,10800,-0.012147429,-0.126073165638785,0.105130107363483
86400.002,3600,2764800,5400,-0.02206797,-0.0489032548700566,0.00495016668226582
86400.002,3600,2764800,2700,-0.008305774,-0.0162948372755844,-0.000300809603716085
86400.002,3600,2764800,1350,-0.010114398,-0.0175232598181636,-0.00269183819546092
86400.002,3600,2764800,675,-0.008680403,-0.0172624154024482,-8.00323614949894e-05
86400.002,3600,2764800,338,-0.008302634,-0.0201173996874327,0.00354694135825641
86400.002,3600,2764800,169,-0.008997854,-0.0205551850339408,0.00259280634292548
86400.002,3600,2764800,84,-0.005230266,-0.00750321018796486,-0.00295604167291718
86400.002,3600,2764800,42,-0.0053111,-0.00791934223665853,-0.00270117041165917
86400.002,3600,2764800,20,-0.005317485,-0.00540696819327495,-0.00522799910964302
86400.002,3600,5529600,86400,,,
86400.002,3600,5529600,43200,,,
86400.002,3600,5529600,21600,-0.098555384,-0.314277205497036,0.131024852003194
86400.002,3600,5529600,10800,0.019825482,-0.0697867953783003,0.111428188445643
86400.002,3600,5529600,5400,-0.002072078,-0.0193989489766159,0.0153292966130218
86400.002,3600,5529600,2700,0.004211187,-0.00122116898519245,0.00965079914350177
86400.002,3600,5529600,1350,0.004082006,-0.00228209199249013,0.0104560644062261
86400.002,3600,5529600,675,0.003732512,-0.00226198142452058,0.00973584574236998
86400.002,3600,5529600,338,0.003611252,-0.00565223118465224,0.0128958659141494
86400.002,3600,5529600,169,0.002570526,-0.007367549988151,0.0125329515891501
86400.002,3600,5529600,84,0.002686231,0.000956779179021922,0.00441641827655658
86400.002,3600,5529600,42,0.002984246,0.00118115557940792,0.00478813542883934
86400.002,3600,5529600,20,0.003006745,0.00290676698479944,0.00310672611826307
86400.002,3600,86400,86400,,,
86400.002,3600,86400,43200,,,
86400.002,3600,86400,21600,,,
86400.002,3600,86400,10800,-0.36641603,-0.479910081866405,-0.247608579337285
86400.002,3600,86400,5400,-0.152349125,-0.240927368351244,-0.0614182501009488
86400.002,3600,86400,2700,-0.065136297,-0.12385871057369,-0.0054887205818807
86400.002,3600,86400,1350,-0.070163974,-0.116336393355254,-0.0234187053652275
86400.002,3600,86400,675,-0.0858625,-0.137105381983774,-0.0339005914647151
86400.002,3600,86400,338,-0.072080108,-0.126382255792412,-0.0169819326700134
86400.002,3600,86400,169,-0.073980038,-0.12625866998325,-0.0209625370176626
86400.002,3600,86400,84,-0.066416212,-0.0797496052880823,-0.0530356967603277
86400.002,3600,86400,42,-0.065204223,-0.0795129385656182,-0.0508412967355453
86400.002,3600,86400,20,-0.068080791,-0.0687113594424142,-0.0674501163555063
86400.002,3600,172800,86400,,,
86400.002,3600,172800,43200,,,
86400.002,3600,172800,21600,-0.460350623,-0.597146189291319,-0.314181497359592
86400.002,3600,172800,10800,,,
86400.002,3600,172800,5400,-0.041852322,-0.312807931833862,0.250131080918193
86400.002,3600,172800,2700,-0.079925151,-0.138395386176692,-0.0205227323252108
86400.002,3600,172800,1350,-0.084361253,-0.127206384089635,-0.0410156229561722
86400.002,3600,172800,675,-0.070030046,-0.131254870363976,-0.00779331766420765
86400.002,3600,172800,338,-0.059754607,-0.152590554634561,0.0354065970836283
86400.002,3600,172800,169,-0.055858663,-0.156074159545572,0.0470619828764676
86400.002,3600,172800,84,-0.095913421,-0.104736679524467,-0.0870688785154235
86400.002,3600,172800,42,-0.096500771,-0.108624106230082,-0.0843371907886227
86400.002,3600,172800,20,-0.096914962,-0.097414302077067,-0.0964155540290369
86400.002,3600,345600,86400,,,
86400.002,3600,345600,43200,,,
86400.002,3600,345600,21600,-0.369055001,-0.513240104145332,-0.216069612798533
86400.002,3600,345600,10800,-0.284246441,-0.340309690213576,-0.227076530942214
86400.002,3600,345600,5400,-0.032676221,-0.192992067173602,0.134546094499574
86400.002,3600,345600,2700,-0.061393656,-0.103522649813134,-0.0187928519834759
86400.002,3600,345600,1350,-0.058742237,-0.0911810768081558,-0.0260252670012146
